상품명,URL,상세정보
베베쿡 처음먹는 덮밥 소스 카레 200g (4개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=36798284&cate=16249098,"제조회사:베베쿡/품목:양념/최소연령:12개월~/無첨가:L-글루탐산나트륨/보관방식:상온,냉장/인증:적합성평가인증,안전확인인증/인증정보:HACCP인증/등록년월일:2023년 07월"
엘빈즈 우리아이 사골곰탕 150g (1개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21428144&cate=16249098,"제조회사:헬스밸런스/품목:아기국/최소연령:12개월~/용량:150g/수량(개수):1개/표시기준분량:150g/열량:20kcal/탄수화물:0g/탄수화물(%):0%/당류:0g/단백질:2g/단백질(%):3%/지방:1.2g/지방(%):2%/포화지방:0.5g/포화지방(%):3%/트랜스지방:0g/콜레스테롤:0mg/콜레스테롤(%):1%/나트륨:20mg/나트륨(%):1%/보관방식:상온/인증:적합성평가인증,안전확인인증/인증정보:HACCP인증/등록년월일:2019년 04월"
루솔 프리미엄 1단계 미음 140g (12개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21208550&cate=16249098,"제조회사:에코패밀리 루솔/품목:수제이유식/최소연령:4개월~/형태:미음/용량:180g/수량(개수):180g x 12개/보관방식:냉장/인증:적합성평가인증,안전확인인증/등록년월일:2013년 09월"
광천김 핑크퐁 키즈김 김자반 40g (5개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=29571629&cate=16249098,"제조회사:광천김/품목:반찬/포장용기:파우치/종류:김자반/용량:40g/수량(개수):5개/표시기준분량:40g/열량:230/탄수화물:12g/탄수화물(%):4%/당류:0.58g/단백질:7g/단백질(%):13%/지방:17g/지방(%):32%/포화지방:1.4g/포화지방(%):9%/트랜스지방:0g/트랜스지방(%):0%/콜레스테롤:5mg미만/콜레스테롤(%):1%/나트륨:480mg/나트륨(%):24%/재료:돌김,카놀라유,설탕,참깨,들기름,천일염/원산지:국내산/보관방식:상온/인증:적합성평가인증,안전확인인증/인증정보:HACCP인증/등록년월일:2025년 01월"
베베쿡 처음먹는 카레소스 200g (2개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21230249&cate=16249098,"제조회사:베베쿡/품목:양념/용량:200g/수량(개수):2개/표시기준분량:100g/열량:69kcal/탄수화물:10g/탄수화물(%):3%/無첨가:L-글루탐산나트륨/당류:3g/단백질:2g/단백질(%):4%/지방:2.3g/지방(%):4%/포화지방:0.7g/포화지방(%):5%/트랜스지방:0g/콜레스테롤:5mg미만/콜레스테롤(%):2%/나트륨:230mg/나트륨(%):12%/보관방식:상온/인증:적합성평가인증,안전확인인증/인증정보:HACCP인증/등록년월일:2022년 01월"
베베쿡 처음먹는 덮밥 소스 짜장 200g (2개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=93567827&cate=16249098,"제조회사:베베쿡/품목:양념/최소연령:12개월~/無첨가:L-글루탐산나트륨/보관방식:상온,냉장/인증:적합성평가인증,안전확인인증/인증정보:HACCP인증/등록년월일:2025년 07월"
아이배냇 영양죽 전복새우죽 160g (8개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=65229518&cate=16249098,"제조회사:아이배냇/품목:레토르트이유식/용량:160g/보관방식:상온/인증:적합성평가인증,안전확인인증/인증정보:HACCP인증/등록년월일:2024년 09월"
아이배냇 베베 순간장소스 비빔용 190ml (1개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21209477&cate=16249098,"제조회사:아이배냇/품목:양념/최소연령:10개월~/종류:간장/용량:190ml/용도:비빔무침용/인증:적합성평가인증,안전확인인증/등록년월일:2015년 07월"
베이비본죽 완료기 이유식 D세트 1세트 : 다나와 가격비교,https://prod.danawa.com/info/?pcode=25955573&cate=16249098,"제조회사:순수본 베이비본죽/인증:적합성평가인증,안전확인인증/등록년월일:2022년 05월"
아이얌 아기밀 고구마 퓨레 100g (20개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=60180743&cate=16249098,"제조회사:일동후디스/품목:레토르트이유식/포장용기:파우치/최소연령:12개월~/용량:100g/보관방식:상온/인증:적합성평가인증,안전확인인증/등록년월일:2024년 07월"
매일유업 맘마밀 안심이유식 브로콜리와 닭가슴살 100g (10개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21210812&cate=16249098,"제조회사:매일유업/품목:레토르트이유식/포장용기:파우치/최소연령:9개월~/용량:100g/수량(개수):10개/재료:이천쌀,닭가슴살,브로콜리,감자,당근,양파,무,단호박/보관방식:상온/인증:적합성평가인증,안전확인인증/등록년월일:2016년 02월"
짱죽 실온이유식 1단계 미음 160g (4개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21219788&cate=16249098,"제조회사:짱죽/품목:수제이유식/최소연령:4개월~/형태:미음/용량:160g/수량(개수):160g x 4개/보관방식:상온/인증:무항생제인증,적합성평가인증,안전확인인증/인증정보:HACCP인증/등록년월일:2019년 07월"
루솔 프리미엄 실온이유식 바로밀 혼합(파우치형) 100g (10개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=31952123&cate=16249098,"제조회사:루솔/품목:레토르트이유식/용량:100g/수량(개수):10개/인증:적합성평가인증,안전확인인증/등록년월일:2023년 11월"
매일유업 맘마밀 안심이유식 퓨레 바나나와 단호박 100g (10개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21212930&cate=16249098,"제조회사:매일유업/품목:레토르트이유식/포장용기:파우치/최소연령:6개월~/용량:100g/수량(개수):10개/표시기준분량:100g/열량:70kcal/탄수화물:16g/탄수화물(%):18%/당류:11g/단백질:0.8g/단백질(%):6%/지방:0.5g/지방(%):2%/포화지방:0g/트랜스지방:0g/콜레스테롤:0mg/나트륨:30mg/나트륨(%):8%/보관방식:상온/인증:적합성평가인증,안전확인인증/등록년월일:2018년 09월"
베베스트 처음먹는 순 아이 들기름 75ml (1개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21606680&cate=16249098,"제조회사:베베스트/용량:75ml/수량(개수):1개/인증:적합성평가인증,안전확인인증/등록년월일:2021년 03월"
루솔 순수퐁당 퓨레 선물박스 12팩 : 다나와 가격비교,https://prod.danawa.com/info/?pcode=25958192&cate=16249098,"제조회사:에코패밀리 루솔/인증:적합성평가인증,안전확인인증/등록년월일:2022년 09월"
루솔 실온이유식 바로밀 3단계 (파우치형) (10개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=42728708&cate=16249098,"제조회사:에코패밀리 루솔/품목:레토르트이유식/인증:적합성평가인증,안전확인인증/등록년월일:2023년 11월"
짱죽 짱죽 골고루 (20개) : 다나와 가격비교,https://prod.danawa.com/info/?pcode=21225134&cate=16249098,"제조회사:짱죽/품목:수제이유식/수량(개수):20개/구성:1.5단계 17종,2단계 38종,3단계 30종,4단계 24종,반찬 19종,영양국 11종,볶음밥 6종/인증:적합성평가인증,안전확인인증/등록년월일:2021년 01월"
